Central_Railway,942,0
MinEconomia,942,0
MinSoliSante,932,0
BloombergQuint,927,1
iamSushanthA,926,0
MoIB_Official,921,0
AJENews,907,0
WHO_Europe,888,0
hoypy,887,0
igtamil,884,0
GOVUK,883,0
MinisteroSalute,878,0
HongKongFP,876,0
ZeeBiharNews,858,0
PTTVEnglish,857,0
Agenzia_Ansa,850,1
ashutosh83B,845,0
ZDFheute,840,0
UniNoticias,835,1
BAG_OFSP_UFSP,831,0
DrDenaGrayson,829,1
bernamadotcom,825,0
Radio_Formula,821,0
Riesgos_Ec,820,0
bbcafrique,812,0
FinancialXpress,805,1
PunjabGovtIndia,805,0
UNGeneva,799,0
JasonMillerinDC,798,0
DHA_Dubai,795,0
ReutersLatam,788,1
ABCDigital,787,0
GHS,787,0
PDChina,786,1
geonews_english,777,0
GobiernodeChile,770,0
Expresoec,769,0
arabnews,766,1
dna,764,1
BangaloreMirror,762,0
News18Guj,756,1
eleconomista,755,1
UNICEFIndia,751,0
PostToday,750,0
aaj_urdu,750,0
Newtral,747,0
WayneDupreeShow,746,0
dwnews,742,1
thouse_opinions,741,0
RadioPakistan,736,1
genemarks,736,0
FGRMexico,732,0
asianetnewstv,731,1
Vice_Ec,730,0
MayoClinic,726,0
Bogota,725,0
KawalCOVID19,725,0
telefe,718,0
WesternRly,709,0
GovCanHealth,706,0
TUDNMEX,705,0
noticiAmerica,705,0
aciprensa,702,0
EU_Commission,700,0
thatsTamil,700,1
manoramanews,696,0
HarvardBiz,692,0
dawn_com,691,1
tvbrasilgov,691,0
HYDTP,687,0
VillaMarcovilla,684,0
workpointnews,682,0
aletihadae,679,1
Saudi_Gazette,676,1
ndtvvideos,675,1
Echinanews,671,0
FFAAECUADOR,646,0
Jaime_BonillaV,639,1
rivm,632,0
roinnslainte,625,0
teleamazonasec,625,0
Vijaykarthikeyn,624,0
UNinIndia,618,0
tctelevision,618,0
ecuavisa,614,1
investindia,612,0
A3Noticias,611,1
Educacion_Ec,609,0
DelhiTimesTweet,606,0
DailyMirror,602,0
9NewsAUS,595,0
MSPUruguay,594,0
okaz_brk,592,1
Pemex,584,0
SAgovnews,583,0
STPS_mx,582,0
prabhatkhabar,576,0
NEWJplus,567,0
mla_sudhakar,566,0
Navimumpolice,565,0
TOIMumbai,565,0
soy_502,564,1
js100radio,563,0
KwtTelevision,562,0
MediasetTgcom24,562,1
thepennyhoarder,562,0
RedMasNoticias,559,1
governosp,556,0
2MInteractive,555,0
JAMA_current,555,0
SCMPNews,555,0
suvarnanewstv,552,1
VaticanNews,550,0
HarunMaruf,549,0
TOLOnews,545,0
EnriqueAlfaroR,543,0
ImagenTVMex,542,0
diario1_sv,540,0
LesEchos,539,0
PIB_Patna,536,0
AztecaDeportes,535,0
ArianaNews_,533,1
Ricamconsult,532,0
VOX_Congreso,529,0
LigaBBVAMX,528,0
TelemundoNews,527,0
TNAMCOT,523,1
legitngnews,522,0
RunRunesWeb,521,0
architectmag,519,0
LoksattaLive,512,1
RCAofficiel,506,0
Telemundo,505,0
Valeurs,505,0
IndiaDST,504,0
