PhilippineStar,71193,0
France24_fr,71189,0
himantabiswa,71030,0
USNavy,71019,0
rssurjewala,70879,0
Uppolice,70780,0
UOL,70502,0
thekiranbedi,70393,0
chicagosmayor,70174,0
ActualidadRT,69960,1
SaraCarterDC,69504,0
VasundharaBJP,69139,0
StateDept,69045,0
Macky_Sall,68772,0
FBI,68738,0
RFI,68426,0
ntv,68419,0
sanidadgob,68397,0
VPSecretariat,68147,0
WorldBank,67628,0
abc_es,67394,0
HealthZA,67333,0
NavbharatTimes,67301,1
MKNJPM,67187,0
DDNewsHindi,66900,0
PoliciaPeru,66120,0
SudarshanNewsTV,65948,0
gulf_news,65942,1
TamilTheHindu,65268,1
Franklin_Graham,64323,0
TerezaCrisMS,64300,0
manilabulletin,64218,0
MininterPeru,64114,0
ONU_es,64052,0
DrAlshoreka,63755,0
OfficeOfOPS,63478,0
c_drosten,63376,0
alain_4u,63344,1
zeerajasthan_,62718,1
ElwatanNews,62640,0
ZeeBiharNews,62608,1
AnilDeshmukhNCP,62215,0
Independent,62088,0
SaludPublicaEs,61948,0
Milenio,61535,1
sanchezcastejon,61115,0
AristeguiOnline,60930,0
Scavino45,60651,0
CNNnews18,60390,1
CMOKerala,60106,0
SecPrensaSV,60106,1
HassanAliJoho,59946,0
tcsnoticias,59851,1
filmfare,59716,0
ntvkenya,59375,0
92newschannel,59292,0
MaritoAbdo,59282,0
Jim_Jordan,59145,0
News18TamilNadu,59010,0
Haberturk,58961,0
vivekagnihotri,58861,0
nigeriantribune,58759,0
WHOWPRO,58565,0
ANCALERTS,58546,1
noticias4vision,58500,0
QuickTake,58416,1
Thairath_News,58400,0
ncbn,58398,0
dailynation,58115,0
hrw,58048,0
aishambuhari,58019,0
PIBFactCheck,57900,0
capt_amarinder,57817,0
CMofKarnataka,57748,0
WHOAFRO,57635,0
mkstalin,57508,0
rahulkanwal,57501,0
NHSuk,57456,0
thewirehindi,57414,1
IAmVarunTej,57249,0
Omojuwa,57002,0
501Awani,56984,0
sundarpichai,56982,0
COVIDNewsByMIB,56946,1
TrumpWarRoom,56834,0
Live_Hindustan,56508,1
ScienceMagazine,56497,0
zlj517,56341,0
afpfr,56292,1
CarlosLoret,56274,0
GujaratPolice,56253,0
BluRadioCo,56226,0
ShraddhaKapoor,56210,0
RTarabic,56207,0
SEP_mx,56192,0
DeptofDefense,56096,0
abpmajhatv,56068,1
RobertAlai,56065,0
TelanganaDGP,55854,0
MoIB_Official,55624,0
MinEconomia,55622,0
TheOfficialSBI,55501,0
gouvernementFR,55417,0
PoliceRajasthan,55414,0
iVeenaKhan,54979,0
MigunaMiguna,54947,0
ABSCBN,54921,0
businessinsider,54905,0
Eatala_Rajender,54532,0
PIBHomeAffairs,54392,0
PhilstarNews,54383,0
MumbaiPolice,54347,0
elespectador,54318,0
policia,54024,0
CynthiaViteri6,54013,0
DeAnna4Congress,53944,0
NatGeo,53615,0
NOIweala,53094,0
GovernmentZA,53031,0
CPHO_Canada,52887,0
BSYBJP,52819,0
IRCTCofficial,52558,0
ennaharonline,52388,0
CCTV,52374,0
AOuattara_PRCI,52370,0
NTANewsNow,52144,0
gilmarmendes,52083,0
elcomerciocom,52037,1
nature,51723,0
DominicRaab,51681,0
TheInterceptBr,51617,0
DCPSouthDelhi,51522,0
beINSPORTS,51447,0
_DigitalIndia,51365,0
MorningNewsTV3,51264,0
RishiSunak,51073,0
MOFA_Taiwan,50993,0
modgovksa,50975,0
bbchausa,50940,0
JusticaGovBR,50915,0
Reforma,50652,1
TheQuint,50361,1
DGPMaharashtra,50309,0
ComunicacionSV,50263,0
XHSports,50233,0
Kicillofok,50184,0
UmarKhalidJNU,50182,0
hydcitypolice,50079,0
PNCSV,49822,0
NIH,49707,0
TV9Marathi,49687,0
Chikwe_I,49578,0
otvnews,49346,1
guardiacivil,49285,0
TheSun,49242,0
tv3_ghana,49219,0
IMinakshiJoshi,48751,0
fordnation,48741,0
MLP_officiel,48550,0
cnnturk,48520,0
bbcswahili,48518,0
SEGOB_mx,48294,0
rajeshtope11,48142,0
Boity,47934,0
eluniversocom,47907,0
thecableng,47897,1
dinamalarweb,47852,0
FIFAcom,47838,0
politico,47715,0
SAMAATV,47519,0
AhmedabadPolice,47408,0
CMMadhyaPradesh,47400,0
ANINewsUP,47196,0
DrRPNishank,47173,0
Complex,47162,0
PJkanojia,47141,0
LANACION,47019,0
Tu_IMSS,46879,0
ministeriosalud,46842,0
PTVNewsOfficial,46819,0
khaleejtimes,46807,1
